Mietbegin Mietende Länge ID position
8 18 7 362 473
8 18 6 462 231
8 18 6 47 401
8 18 6 186 972
8 18 6 282 191
8 17 6 103 33
8 13 10 53 174
8 18 5 400 254
8 18 5 97 78
8 18 5 273 554
8 13 10 227 885
8 15 7 254 122
8 16 6 129 374
9 18 5 175 66
13 18 9 128 18
10 15 9 99 911
8 13 9 285 7
8 18 4 123 60
8 18 4 87 621
8 16 5 125 868
8 18 4 82 226
8 18 4 115 292
8 18 4 130 207
8 18 4 244 844
8 18 4 141 522
8 13 8 147 692
8 18 4 168 549
8 18 4 202 465
13 18 8 230 954
8 13 8 242 505
8 18 4 269 480
8 18 4 303 117
8 18 4 407 242
13 18 8 411 575
8 13 8 431 755
8 13 8 134 703
8 18 4 38 589
13 18 8 489 280
9 14 8 34 646
8 18 4 31 765
8 17 4 126 485
8 17 4 196 563
8 17 4 17 354
8 17 4 194 495
8 17 4 110 514
8 13 7 65 20
13 18 7 321 165
8 13 7 40 664
13 18 7 418 730
11 18 5 429 774
13 18 7 350 433
11 16 7 348 298
10 15 7 213 711
13 18 7 143 722
9 14 7 117 743
8 16 4 36 268
8 16 4 136 97
8 18 3 345 560
8 18 3 344 519
8 13 6 357 579
12 18 5 288 540
8 18 3 358 804
8 18 3 295 305
8 18 3 279 636
8 18 3 78 92
8 18 3 297 839
8 18 3 274 944
8 18 3 92 859
8 18 3 74 341
13 18 6 30 382
13 18 6 259 393
8 18 3 398 826
8 18 3 252 429
8 18 3 166 876
8 18 3 486 415
8 18 3 44 655
8 18 3 188 926
8 18 3 195 679
8 18 3 464 349
13 18 6 453 489
8 18 3 256 527
13 18 6 214 904
8 18 3 436 790
8 18 3 220 219
8 18 3 421 49
9 14 6 15 157
8 18 3 316 441
8 18 3 233 531
11 16 6 391 850
8 18 3 2 455
10 17 4 440 605
13 17 7 211 2
9 16 4 369 770
8 17 3 262 83
8 17 3 157 214
9 18 3 154 781
8 17 3 465 274
13 18 5 124 753
8 13 5 192 724
13 18 5 102 103
10 15 5 366 321
8 16 3 332 289
8 14 4 18 332
8 12 6 81 382
8 14 4 49 642
9 13 6 201 900
13 17 6 7 879
8 16 3 488 248
11 17 4 257 45
13 16 7 171 444
8 15 3 466 422
8 15 3 331 149
8 15 3 107 54
13 18 4 364 27
8 18 2 286 662
13 18 4 473 995
13 18 4 291 13
8 18 2 294 619
8 18 2 478 923
13 18 4 481 460
13 18 4 365 569
13 18 4 182 40
8 13 4 347 930
13 18 4 174 820
13 18 4 173 418
13 18 4 333 138
8 18 2 487 367
8 13 4 164 674
13 18 4 162 795
8 18 2 485 358
8 13 4 378 170
13 18 4 203 328
8 18 2 204 751
8 13 4 370 408
8 18 2 379 204
13 18 4 386 703
13 18 4 390 596
8 13 4 264 956
9 13 5 236 447
13 18 4 394 583
8 18 2 416 700
8 18 2 430 262
8 18 2 433 836
8 13 4 11 135
8 13 4 441 166
8 18 2 442 898
13 18 4 212 784
13 18 4 461 108
8 18 2 210 639
8 18 2 207 807
13 18 4 260 315
9 14 4 302 153
8 18 2 0 610
13 18 4 64 451
8 18 2 57 718
11 16 4 21 362
8 18 2 70 499
8 18 2 42 629
8 18 2 41 993
13 18 4 22 683
8 18 2 58 391
8 18 2 76 186
8 18 2 149 842
8 18 2 32 799
8 13 4 113 131
13 18 4 112 173
13 18 4 95 670
8 13 4 90 731
8 18 2 150 921
13 18 4 144 986
8 14 3 355 687
8 17 2 79 142
8 14 3 24 198
11 17 3 373 593
8 17 2 60 815
8 17 2 37 189
13 16 6 353 501
8 14 3 159 862
14 16 9 457 740
8 16 2 319 545
8 16 2 455 369
15 17 8 247 156
8 16 2 161 58
13 17 4 167 980
8 16 2 217 113
8 12 4 12 40
9 17 2 284 830
8 16 2 425 346
13 15 8 14 933
8 16 2 45 949
8 16 2 311 223
13 18 3 361 893
8 13 3 241 962
8 13 3 337 952
13 18 3 249 990
13 18 3 1 600
8 13 3 427 784
8 13 3 424 106
13 18 3 338 967
13 18 3 334 74
13 18 3 122 388
12 17 3 255 87
13 18 3 354 239
13 18 3 352 691
8 13 3 351 239
8 13 3 460 211
8 13 3 271 990
8 11 5 131 73
8 13 3 409 625
13 18 3 39 613
8 13 3 402 139
13 18 3 148 761
13 18 3 101 962
13 18 3 20 534
8 13 3 308 264
8 13 3 145 109
8 13 3 176 281
13 18 3 310 658
8 13 3 23 599
13 18 3 392 135
8 13 3 313 452
13 18 3 178 144
13 18 3 380 888
13 18 3 266 900
8 13 3 324 823
8 13 3 137 794
13 18 3 276 251
8 13 3 3 329
13 18 3 476 509
13 18 3 105 211
13 18 3 184 470
13 18 3 387 132
13 15 7 215 179
8 15 2 463 547
8 15 2 306 163
8 15 2 85 338
8 10 7 98 311
8 15 2 341 380
8 15 2 372 856
8 15 2 475 970
8 15 2 80 90
13 16 4 289 695
13 17 3 270 811
14 17 4 304 311
8 11 4 226 879
13 17 3 191 664
8 10 6 359 937
13 16 4 48 631
8 11 4 468 809
9 15 2 75 874
13 18 2 86 344
8 13 2 318 201
13 18 2 384 896
8 13 2 317 906
13 18 2 93 738
13 18 2 315 278
13 18 2 314 130
8 13 2 63 393
13 18 2 388 886
12 17 2 389 942
13 18 2 415 802
9 14 2 395 573
8 13 2 396 434
13 18 2 66 10
13 18 2 307 984
13 18 2 401 0
8 18 1 403 373
8 13 2 4 420
8 13 2 94 763
12 17 2 408 965
13 18 2 382 793
8 13 2 153 738
8 18 1 72 559
8 18 1 323 52
13 18 2 346 759
13 18 2 426 319
13 18 2 84 677
8 18 1 339 112
13 18 2 83 296
13 18 2 6 834
13 18 2 335 427
8 13 2 77 569
8 18 1 428 849
13 18 2 71 272
13 18 2 368 567
8 18 1 73 838
8 13 2 329 896
12 17 2 371 832
8 18 1 374 218
11 16 2 432 809
13 18 2 326 587
13 18 2 325 352
9 14 2 62 64
8 13 2 377 395
8 13 2 342 909
13 18 2 330 360
8 13 2 300 285
8 13 2 9 802
12 17 2 46 336
13 18 2 35 72
13 18 2 216 31
8 18 1 140 929
13 18 2 483 675
8 18 1 446 372
8 13 2 223 987
13 18 2 447 891
8 13 2 251 983
13 18 2 51 978
13 18 2 248 537
8 13 2 450 819
11 16 2 52 425
8 13 2 456 613
9 14 2 239 115
8 13 2 238 344
8 13 2 477 16
13 18 2 181 625
13 18 2 234 817
8 18 1 121 432
8 18 1 232 152
13 18 2 231 627
8 18 1 268 513
13 18 2 25 603
13 18 2 272 202
13 18 2 96 246
10 15 2 472 260
8 13 2 56 571
10 15 2 198 788
13 18 2 292 779
11 16 2 156 947
13 18 2 158 399
13 18 2 29 266
13 18 2 160 309
12 17 2 197 865
13 18 2 281 707
13 18 2 10 720
8 18 1 275 222
8 18 1 163 858
8 13 2 410 567
13 18 2 278 95
8 13 2 277 935
13 18 2 135 951
13 18 2 183 824
10 13 3 417 575
8 11 3 406 996
13 16 3 108 930
9 12 3 243 966
13 17 2 221 101
8 12 2 419 4
12 16 2 471 458
8 12 2 474 491
8 16 1 91 288
8 10 4 237 425
14 15 8 376 646
11 13 4 296 460
8 16 1 155 469
8 12 2 89 740
8 16 1 293 371
8 12 2 413 29
8 12 2 412 470
8 16 1 404 188
14 16 4 444 332
13 17 2 165 147
17 18 7 127 84
8 15 1 367 829
8 15 1 142 690
9 16 1 189 259
8 14 1 484 750
13 16 2 482 264
15 18 2 177 181
8 14 1 439 769
14 17 2 445 749
15 18 2 265 149
13 16 2 109 507
8 10 3 111 658
8 9 6 258 776
8 14 1 16 526
12 18 1 253 206
16 18 3 320 694
8 14 1 283 612
8 10 3 267 605
15 18 2 104 687
8 14 1 459 44
8 14 1 228 873
12 18 1 437 925
8 11 2 360 462
8 10 3 55 501
15 16 6 290 643
8 10 3 458 918
11 14 2 106 313
13 18 1 54 801
8 9 5 434 850
8 13 1 435 145
9 14 1 470 737
8 13 1 43 586
11 16 1 480 682
13 18 1 451 641
12 17 1 50 654
13 18 1 422 201
8 13 1 420 444
12 17 1 469 484
13 18 1 449 197
13 18 1 423 609
8 13 1 263 633
8 13 1 100 635
13 18 1 172 408
13 18 1 133 172
13 18 1 146 217
8 13 1 8 867
8 13 1 280 683
13 18 1 28 237
8 13 1 185 253
10 15 1 190 366
12 17 1 246 729
13 18 1 405 512
8 13 1 13 722
13 18 1 193 12
8 13 1 199 147
13 18 1 229 910
13 18 1 225 225
8 13 1 222 678
13 18 1 219 77
13 18 1 200 848
11 16 1 27 518
8 13 1 301 390
8 13 1 305 986
13 18 1 132 710
13 18 1 322 230
13 18 1 381 39
8 13 1 151 821
8 13 1 349 105
17 18 5 343 864
8 13 1 383 504
13 18 1 340 121
8 13 1 19 18
10 15 1 385 340
8 13 1 328 989
8 13 1 68 388
13 18 1 393 238
13 18 1 67 618
8 13 1 88 225
13 18 1 363 414
8 12 1 224 534
17 18 4 69 650
8 10 2 375 418
8 12 1 138 320
8 9 4 309 831
13 15 2 179 177
17 18 4 61 504
8 12 1 298 822
17 18 4 438 2
8 10 2 397 587
14 15 3 187 158
8 11 1 479 413
17 18 3 169 937
16 17 3 245 332
8 9 3 208 360
11 12 3 356 671
13 14 3 327 740
8 11 1 114 6
13 16 1 209 674
17 18 2 452 501
12 14 1 299 277
15 17 1 336 90
11 12 1 250 797
15 16 1 206 714
8 9 1 180 905
13 14 1 443 464
8 9 1 287 947
13 14 1 218 702
16 17 1 235 856
14 15 2 116 642
8 15 1 5 57
12 17 2 26 326
8 9 4 119 297
13 15 3 414 667
13 18 1 170 699
13 18 2 312 410
13 15 2 240 412
13 15 4 261 -1
13 15 3 399 -1
13 15 3 467 -1
13 14 4 118 -1
13 14 3 120 -1
13 14 3 152 -1
17 18 4 454 -1
8 18 1 33 -1
13 18 2 205 -1
17 18 2 59 -1
8 9 3 448 -1
13 18 5 139 -1
