Mietbegin Mietende Länge ID position
8 18 2 0 310
13 18 3 1 318
8 18 3 2 750
8 13 3 3 383
8 13 2 4 764
8 15 1 5 226
13 18 2 6 961
13 17 6 7 706
8 13 1 8 727
8 13 2 9 338
13 18 2 10 400
8 13 4 11 470
8 12 4 12 868
8 13 1 13 923
13 15 8 14 736
9 14 6 15 409
8 14 1 16 691
8 17 4 17 140
8 14 4 18 627
8 13 1 19 925
13 18 3 20 424
11 16 4 21 27
13 18 4 22 633
8 13 3 23 156
8 14 3 24 141
13 18 2 25 369
12 17 2 26 476
11 16 1 27 209
13 18 1 28 69
13 18 2 29 920
13 18 6 30 230
8 18 4 31 83
8 18 2 32 147
8 18 1 33 745
9 14 8 34 732
13 18 2 35 203
8 16 4 36 69
8 17 2 37 181
8 18 4 38 259
13 18 3 39 442
8 13 7 40 56
8 18 2 41 419
8 18 2 42 710
8 13 1 43 745
8 18 3 44 338
8 16 2 45 627
12 17 2 46 882
8 18 6 47 707
13 16 4 48 987
8 14 4 49 100
12 17 1 50 813
13 18 2 51 698
11 16 2 52 528
8 13 10 53 664
13 18 1 54 478
8 10 3 55 282
8 13 2 56 682
8 18 2 57 594
8 18 2 58 241
17 18 2 59 395
8 17 2 60 748
17 18 4 61 750
9 14 2 62 640
8 13 2 63 805
13 18 4 64 107
8 13 7 65 315
13 18 2 66 324
13 18 1 67 125
8 13 1 68 186
17 18 4 69 536
8 18 2 70 340
13 18 2 71 509
8 18 1 72 879
8 18 1 73 185
8 18 3 74 866
9 15 2 75 5
8 18 2 76 316
8 13 2 77 889
8 18 3 78 816
8 17 2 79 513
8 15 2 80 485
8 12 6 81 762
8 18 4 82 218
13 18 2 83 967
13 18 2 84 107
8 15 2 85 531
13 18 2 86 553
8 18 4 87 475
8 13 1 88 266
8 12 2 89 454
8 13 4 90 519
8 16 1 91 475
8 18 3 92 937
13 18 2 93 864
8 13 2 94 693
13 18 4 95 303
13 18 2 96 778
8 18 5 97 900
8 10 7 98 633
10 15 9 99 20
8 13 1 100 303
13 18 3 101 756
13 18 5 102 522
8 17 6 103 449
15 18 2 104 758
13 18 3 105 303
11 14 2 106 818
8 15 3 107 342
13 16 3 108 800
13 16 2 109 472
8 17 4 110 963
8 10 3 111 790
13 18 4 112 774
8 13 4 113 726
8 11 1 114 909
8 18 4 115 980
14 15 2 116 532
9 14 7 117 668
13 14 4 118 697
8 9 4 119 573
13 14 3 120 761
8 18 1 121 847
13 18 3 122 856
8 18 4 123 729
13 18 5 124 16
8 16 5 125 862
8 17 4 126 568
17 18 7 127 14
13 18 9 128 487
8 16 6 129 561
8 18 4 130 225
8 11 5 131 410
13 18 1 132 253
13 18 1 133 797
8 13 8 134 208
13 18 2 135 727
8 16 4 136 240
8 13 3 137 765
8 12 1 138 208
13 18 5 139 800
8 18 1 140 712
8 18 4 141 210
8 15 1 142 674
13 18 7 143 788
13 18 4 144 487
8 13 3 145 727
13 18 1 146 698
8 13 8 147 209
13 18 3 148 953
8 18 2 149 710
8 18 2 150 770
8 13 1 151 106
13 14 3 152 204
8 13 2 153 62
9 18 3 154 257
8 16 1 155 456
11 16 2 156 898
8 17 3 157 791
13 18 2 158 434
8 14 3 159 891
13 18 2 160 732
8 16 2 161 803
13 18 4 162 849
8 18 1 163 238
8 13 4 164 246
13 17 2 165 553
8 18 3 166 538
13 17 4 167 976
8 18 4 168 516
17 18 3 169 181
13 18 1 170 742
13 16 7 171 761
13 18 1 172 463
13 18 4 173 893
13 18 4 174 859
9 18 5 175 550
8 13 3 176 172
15 18 2 177 64
13 18 3 178 242
13 15 2 179 288
8 9 1 180 167
13 18 2 181 358
13 18 4 182 59
13 18 2 183 779
13 18 3 184 791
8 13 1 185 119
8 18 6 186 206
14 15 3 187 190
8 18 3 188 538
9 16 1 189 753
10 15 1 190 828
13 17 3 191 446
