Mietbegin Mietende Länge ID position
8 18 7 362 491
8 18 6 462 240
8 18 6 47 5
8 18 6 186 97
8 18 6 282 348
8 17 6 103 289
8 13 10 53 801
8 18 5 400 873
8 18 5 97 303
8 18 5 273 868
8 13 10 227 723
8 15 7 254 196
8 16 6 129 374
9 18 5 175 826
13 18 9 128 756
10 15 9 99 786
8 13 9 285 640
8 18 4 123 747
8 18 4 87 299
8 16 5 125 258
8 18 4 82 683
8 18 4 115 67
8 18 4 130 598
8 18 4 244 714
8 18 4 141 387
8 13 8 147 164
8 18 4 168 796
8 18 4 202 274
13 18 8 230 802
8 13 8 242 846
8 18 4 269 216
8 18 4 303 143
8 18 4 407 961
13 18 8 411 881
8 13 8 431 246
8 13 8 134 933
8 18 4 38 549
13 18 8 489 179
9 14 8 34 409
8 18 4 31 942
8 17 4 126 447
8 17 4 196 514
8 17 4 17 978
8 17 4 194 528
8 17 4 110 952
8 13 7 65 563
13 18 7 321 367
8 13 7 40 831
13 18 7 418 812
11 18 5 429 172
13 18 7 350 892
11 16 7 348 691
10 15 7 213 309
13 18 7 143 832
9 14 7 117 337
8 16 4 36 420
8 16 4 136 581
8 18 3 345 221
8 18 3 344 656
8 13 6 357 106
12 18 5 288 466
8 18 3 358 488
8 18 3 295 58
8 18 3 279 463
8 18 3 78 611
8 18 3 297 543
8 18 3 274 207
8 18 3 92 477
8 18 3 74 572
13 18 6 30 844
13 18 6 259 149
8 18 3 398 439
8 18 3 252 396
8 18 3 166 359
8 18 3 486 839
8 18 3 44 130
8 18 3 195 48
8 18 3 464 767
13 18 6 453 778
8 18 3 256 774
13 18 6 214 933
8 18 3 436 451
8 18 3 220 537
8 18 3 421 927
9 14 6 15 424
8 18 3 233 74
11 16 6 391 482
8 18 3 2 744
10 17 4 440 264
13 17 7 211 232
9 16 4 369 506
8 17 3 262 155
8 17 3 157 435
9 18 3 154 947
8 17 3 465 404
13 18 5 124 559
13 18 5 139 911
8 13 5 192 363
13 18 5 102 248
10 15 5 366 903
8 16 3 332 190
8 14 4 18 993
8 12 6 81 11
8 14 4 49 430
9 13 6 201 380
13 17 6 7 965
8 16 3 488 17
11 17 4 257 114
13 16 7 171 281
8 15 3 466 577
8 15 3 331 503
8 15 3 107 889
13 18 4 364 319
8 18 2 286 588
13 18 4 473 33
13 18 4 291 607
8 18 2 294 592
8 18 2 478 139
13 18 4 481 687
13 18 4 365 89
13 18 4 182 13
