Mietbegin Mietende Länge ID position
8 18 7 362 333
8 18 6 462 238
8 18 6 47 414
8 18 6 186 890
8 18 6 282 449
8 17 6 103 279
8 13 10 53 818
8 18 5 400 420
8 18 5 97 615
8 18 5 273 12
8 13 10 227 773
8 15 7 254 323
8 16 6 129 807
9 18 5 175 39
13 18 9 128 482
10 15 9 99 925
8 13 9 285 984
8 18 4 123 856
8 18 4 87 226
8 16 5 125 514
8 18 4 82 841
8 18 4 115 532
8 18 4 130 850
8 18 4 244 797
8 18 4 141 201
8 13 8 147 356
8 18 4 168 495
8 18 4 202 429
13 18 8 230 956
8 13 8 242 500
8 18 4 269 980
8 18 4 303 187
8 18 4 407 220
13 18 8 411 738
8 13 8 431 870
8 13 8 134 647
8 18 4 38 247
13 18 8 489 774
9 14 8 34 285
8 18 4 31 174
8 17 4 126 526
8 17 4 196 655
8 17 4 17 608
8 17 4 194 294
8 17 4 110 317
8 13 7 65 101
13 18 7 321 305
8 13 7 40 740
13 18 7 418 263
11 18 5 429 370
13 18 7 350 57
11 16 7 348 0
10 15 7 213 833
13 18 7 143 643
9 14 7 117 132
8 16 4 36 757
8 16 4 136 394
8 18 3 345 575
8 18 3 344 663
8 13 6 357 62
12 18 5 288 731
8 18 3 358 389
8 18 3 295 470
8 18 3 279 91
8 18 3 78 23
8 18 3 297 570
8 18 3 274 76
8 18 3 92 44
8 18 3 74 149
13 18 6 30 785
13 18 6 259 677
8 18 3 398 157
8 18 3 252 560
8 18 3 166 27
8 18 3 486 974
8 18 3 44 170
8 18 3 188 904
8 18 3 195 556
8 18 3 464 509
13 18 6 453 109
8 18 3 256 70
13 18 6 214 717
8 18 3 436 163
8 18 3 220 603
8 18 3 421 462
9 14 6 15 968
8 18 3 316 385
8 18 3 233 639
11 16 6 391 627
8 18 3 2 95
10 17 4 440 344
13 17 7 211 816
9 16 4 369 193
8 17 3 262 273
8 17 3 157 477
9 18 3 154 146
8 17 3 465 231
13 18 5 124 595
13 18 5 139 379
8 13 5 192 813
13 18 5 102 83
10 15 5 366 402
8 16 3 332 697
8 14 4 18 591
8 12 6 81 126
8 14 4 49 916
9 13 6 201 541
13 17 6 7 896
8 16 3 488 687
11 17 4 257 994
13 16 7 171 937
8 15 3 466 804
