Mietbegin Mietende Länge ID position
8 18 7 362 0
8 18 6 462 7
8 18 6 47 13
8 18 6 186 19
8 18 6 282 25
8 17 6 103 31
8 13 10 53 296
8 18 5 97 990
8 18 5 273 985
8 13 10 227 47
8 15 7 254 978
8 16 6 129 972
9 18 5 175 967
13 18 9 128 958
10 15 9 99 949
8 13 9 285 57
8 18 4 123 945
8 18 4 87 941
8 16 5 125 936
8 18 4 82 932
8 18 4 115 928
8 18 4 130 924
8 18 4 244 920
8 18 4 141 916
8 13 8 147 311
8 18 4 168 912
8 18 4 202 908
13 18 8 230 900
8 13 8 242 74
8 18 4 269 896
8 18 4 303 892
8 18 4 407 888
13 18 8 411 880
8 13 8 431 321
8 13 8 134 90
8 18 4 38 876
13 18 8 489 868
9 14 8 34 860
8 18 4 31 856
8 17 4 126 852
8 17 4 196 848
8 17 4 17 844
8 17 4 194 840
8 17 4 110 836
8 13 7 65 98
13 18 7 321 37
8 13 7 40 105
13 18 7 418 44
11 18 5 429 831
13 18 7 350 51
11 16 7 348 824
13 18 7 143 58
9 14 7 117 810
8 16 4 36 806
8 16 4 136 802
8 18 3 345 799
8 18 3 344 796
8 13 6 357 112
12 18 5 288 791
8 18 3 358 788
8 18 3 295 785
8 18 3 279 782
8 18 3 78 779
8 18 3 297 776
8 18 3 274 773
8 18 3 92 770
8 18 3 74 767
13 18 6 30 65
13 18 6 259 71
8 18 3 398 764
8 18 3 252 761
8 18 3 166 758
8 18 3 486 755
8 18 3 44 752
8 18 3 188 749
8 18 3 195 746
8 18 3 464 743
13 18 6 453 77
8 18 3 256 740
13 18 6 214 83
8 18 3 436 737
8 18 3 220 734
8 18 3 421 731
9 14 6 15 725
8 18 3 316 722
8 18 3 233 719
11 16 6 391 713
8 18 3 2 710
10 17 4 440 706
13 17 7 211 89
9 16 4 369 702
8 17 3 262 699
8 17 3 157 696
9 18 3 154 693
8 17 3 465 690
13 18 5 124 685
13 18 5 139 680
8 13 5 192 118
13 18 5 102 675
8 16 3 332 667
8 14 4 18 663
8 12 6 81 123
8 14 4 49 659
9 13 6 201 684
13 17 6 7 96
8 16 3 488 656
13 16 7 171 102
8 15 3 466 649
8 15 3 331 646
8 15 3 107 643
13 18 4 364 109
8 18 2 286 641
13 18 4 473 113
13 18 4 291 117
8 18 2 294 639
8 18 2 478 637
13 18 4 481 121
13 18 4 365 125
13 18 4 182 129
8 13 4 347 633
13 18 4 174 133
13 18 4 173 137
13 18 4 333 141
8 18 2 487 631
8 13 4 164 679
13 18 4 162 145
