Mietbegin Mietende Länge ID position
8 18 7 362 421
8 18 6 462 748
8 18 6 47 288
8 18 6 186 516
8 18 6 282 473
8 17 6 103 931
8 13 10 53 152
8 18 5 400 924
8 18 5 97 641
8 18 5 273 251
8 13 10 227 314
8 15 7 254 778
8 16 6 129 606
9 18 5 175 712
13 18 9 128 295
10 15 9 99 685
8 13 9 285 792
8 18 4 123 239
8 18 4 87 208
8 16 5 125 48
8 18 4 82 865
8 18 4 115 17
8 18 4 130 466
8 18 4 244 551
8 18 4 141 101
8 13 8 147 383
8 18 4 168 174
8 18 4 202 583
13 18 8 230 985
8 13 8 242 373
8 18 4 269 85
8 18 4 303 763
8 18 4 407 339
13 18 8 411 767
8 13 8 134 0
8 18 4 38 967
13 18 8 489 353
9 14 8 34 572
8 18 4 31 230
8 17 4 126 141
8 17 4 196 94
8 17 4 17 870
8 17 4 194 21
8 17 4 110 805
8 13 7 65 973
13 18 7 321 118
8 13 7 40 730
13 18 7 418 66
11 18 5 429 461
13 18 7 350 671
11 16 7 348 499
10 15 7 213 589
13 18 7 143 243
9 14 7 117 276
8 16 4 36 431
8 16 4 136 283
8 18 3 345 745
8 18 3 344 418
8 13 6 357 75
12 18 5 288 787
8 18 3 358 617
8 18 3 295 941
8 18 3 279 265
8 18 3 78 180
8 18 3 297 564
8 18 3 274 458
8 18 3 92 878
8 18 3 74 907
13 18 6 30 330
13 18 6 259 727
8 18 3 398 443
8 18 3 252 697
8 18 3 166 963
8 18 3 486 894
8 18 3 44 741
8 18 3 188 165
8 18 3 195 484
8 18 3 464 759
13 18 6 453 131
8 18 3 256 270
13 18 6 214 401
8 18 3 436 531
8 18 3 220 560
8 18 3 421 703
9 14 6 15 635
8 18 3 316 186
8 18 3 233 106
11 16 6 391 524
8 18 3 2 414
10 17 4 440 801
13 17 7 211 200
9 16 4 369 949
8 17 3 262 511
8 17 3 157 539
9 18 3 154 613
8 17 3 465 138
13 18 5 124 623
13 18 5 139 850
8 13 5 192 200
13 18 5 102 449
10 15 5 366 218
8 16 3 332 860
8 14 4 18 814
8 12 6 81 678
8 14 4 49 214
9 13 6 201 820
13 17 6 7 545
8 16 3 488 308
11 17 4 257 493
13 16 7 171 150
8 15 3 466 857
8 15 3 331 981
8 15 3 107 196
13 18 4 364 836
8 18 2 286 311
13 18 4 473 39
13 18 4 291 373
8 18 2 294 569
8 18 2 478 556
13 18 4 481 364
13 18 4 365 320
13 18 4 182 379
8 13 4 347 439
13 18 4 174 660
13 18 4 173 487
13 18 4 333 435
8 18 2 487 163
8 13 4 164 400
13 18 4 162 314
8 18 2 485 633
8 13 4 378 596
13 18 4 203 708
8 18 2 204 537
8 13 4 370 646
8 18 2 379 14
13 18 4 386 680
13 18 4 390 831
8 13 4 264 849
9 13 5 236 356
8 18 2 416 601
8 18 2 430 855
8 18 2 433 959
8 13 4 11 112
8 13 4 441 912
8 18 2 442 191
13 18 4 212 793
13 18 4 461 734
8 18 2 210 127
8 18 2 207 411
13 18 4 260 842
9 14 4 302 25
8 18 2 0 259
13 18 4 64 903
8 18 2 57 148
11 16 4 21 916
8 18 2 70 304
8 18 2 42 90
8 18 2 41 212
13 18 4 22 824
8 18 2 58 580
8 18 2 76 61
8 18 2 149 995
8 18 2 32 920
8 13 4 113 661
13 18 4 112 77
13 18 4 95 387
8 13 4 90 652
8 18 2 150 776
13 18 4 144 720
8 14 3 355 262
8 17 2 79 507
8 14 3 24 44
11 17 3 373 694
8 17 2 60 811
8 17 2 37 456
13 16 6 353 224
8 14 3 159 327
14 16 9 457 648
8 16 2 319 183
8 16 2 455 809
15 17 8 247 571
8 16 2 161 257
13 17 4 167 911
8 16 2 217 883
8 12 4 12 489
9 17 2 284 325
8 16 2 425 667
8 16 2 45 109
8 16 2 311 306
13 18 3 361 596
8 13 3 241 545
8 13 3 337 669
13 18 3 249 159
13 18 3 1 395
8 13 3 427 826
8 13 3 424 38
13 18 3 334 797
13 18 3 122 886
12 17 3 255 53
13 18 3 354 953
13 18 3 352 384
8 13 3 351 118
8 13 3 460 170
8 13 3 271 937
8 11 5 131 502
8 13 3 409 56
13 18 3 39 657
8 13 3 402 405
13 18 3 148 31
13 18 3 101 350
13 18 3 20 978
8 13 3 308 11
8 13 3 145 717
8 13 3 176 836
13 18 3 310 56
8 13 3 23 72
13 18 3 392 975
8 13 3 313 891
