Mietbegin Mietende Länge ID position
8 9 82 55 0
17 18 54 270 0
9 10 37 286 0
17 18 36 502 54
16 18 27 258 973
16 18 25 48 948
10 11 23 172 0
17 18 20 7 90
15 16 19 252 981
16 18 16 324 932
15 17 14 300 0
17 18 14 92 110
16 18 13 563 919
16 17 13 30 14
17 18 13 82 124
16 18 12 403 907
15 16 12 503 14
8 13 10 507 990
8 13 10 59 980
15 17 10 249 27
8 13 9 189 971
10 15 9 530 962
13 18 9 474 898
13 18 9 459 889
14 16 9 11 907
16 18 9 452 880
17 18 9 359 137
17 18 9 202 146
8 18 8 257 872
8 18 8 550 864
8 18 8 188 856
13 18 8 287 848
8 13 8 176 848
13 18 8 343 840
13 18 8 545 832
8 13 8 470 840
8 13 8 251 832
9 14 8 234 824
8 13 8 14 880
15 17 8 512 37
14 15 8 193 0
8 18 7 400 817
8 18 7 215 810
8 18 7 414 803
8 15 7 423 796
11 16 7 401 955
10 15 7 70 789
8 13 7 72 888
13 18 7 407 782
13 18 7 427 775
13 18 7 415 768
13 18 7 2 761
9 14 7 130 948
8 13 7 313 895
13 17 7 358 754
13 16 7 253 880
8 10 7 435 789
17 18 7 304 155
11 12 7 28 0
16 17 7 353 45
17 18 7 1 162
16 17 7 332 52
8 18 6 531 748
8 18 6 453 742
8 18 6 511 736
8 18 6 265 730
8 18 6 174 724
8 17 6 447 718
8 16 6 473 712
9 14 6 396 706
13 18 6 506 700
13 18 6 387 694
8 13 6 40 754
8 13 6 129 760
11 16 6 490 942
13 18 6 386 688
13 18 6 548 682
9 13 6 558 700
13 17 6 141 676
8 12 6 532 766
13 16 6 285 936
14 17 6 420 706
14 16 6 305 824
16 18 6 364 789
16 18 6 101 795
8 10 6 331 772
8 9 6 355 82
16 17 6 214 59
15 16 6 508 45
17 18 6 83 169
8 18 5 131 671
8 18 5 123 666
8 18 5 336 661
8 18 5 347 656
8 17 5 242 651
9 18 5 510 646
8 16 5 523 641
11 18 5 374 636
12 18 5 484 631
8 13 5 521 676
10 15 5 539 626
13 18 5 57 621
13 18 5 64 616
13 18 5 398 611
10 15 5 29 931
13 18 5 9 606
8 13 5 380 681
8 13 5 496 686
13 18 5 217 601
11 16 5 371 926
13 17 5 194 596
9 13 5 240 691
8 11 5 88 636
17 18 5 239 175
17 18 5 439 180
8 9 5 241 88
17 18 5 156 185
8 18 4 335 592
8 18 4 137 588
8 18 4 455 584
8 18 4 284 580
8 18 4 161 576
8 18 4 467 572
8 18 4 291 568
8 18 4 479 564
8 18 4 209 560
8 18 4 541 556
8 18 4 405 552
8 18 4 402 548
8 18 4 534 544
8 18 4 522 540
8 18 4 115 536
8 18 4 84 532
8 18 4 54 528
8 17 4 417 524
8 17 4 268 520
8 17 4 151 516
8 17 4 120 512
8 17 4 178 508
9 18 4 237 504
8 17 4 39 500
8 16 4 527 496
8 16 4 134 492
8 16 4 197 488
10 17 4 385 484
9 16 4 515 480
8 15 4 352 476
11 17 4 103 472
8 14 4 339 468
8 14 4 195 464
11 16 4 173 922
13 18 4 555 460
13 18 4 554 456
13 18 4 357 452
13 18 4 233 448
13 18 4 543 444
8 13 4 232 460
13 18 4 469 440
8 13 4 12 456
13 18 4 32 436
13 18 4 429 432
13 18 4 279 428
9 14 4 225 907
8 13 4 207 452
13 18 4 422 424
8 13 4 208 448
13 18 4 218 420
13 18 4 546 416
13 18 4 198 412
13 18 4 551 408
13 18 4 460 404
13 18 4 98 400
13 18 4 516 396
8 13 4 117 444
8 13 4 132 440
13 18 4 440 392
8 13 4 448 436
13 18 4 109 388
13 18 4 4 384
13 18 4 322 380
13 18 4 321 376
13 18 4 346 372
8 13 4 100 432
13 18 4 302 368
13 18 4 312 364
13 18 4 350 360
13 18 4 254 356
13 18 4 166 352
8 13 4 351 428
13 18 4 528 348
13 17 4 221 344
8 12 4 42 424
14 18 4 35 464
8 11 4 73 420
14 17 4 498 468
8 11 4 391 416
12 15 4 295 918
14 16 4 533 948
16 18 4 549 626
16 18 4 368 641
11 13 4 102 596
8 10 4 230 412
17 18 4 445 190
16 17 4 8 65
17 18 4 36 194
8 9 4 111 93
16 17 4 182 69
17 18 4 167 198
10 11 4 438 23
15 16 4 281 51
8 9 4 80 97
16 17 4 157 73
17 18 4 168 202
8 18 3 119 341
8 18 3 262 338
8 18 3 236 335
8 18 3 226 332
8 18 3 113 329
8 18 3 18 326
8 18 3 139 323
8 18 3 397 320
8 18 3 337 317
8 18 3 91 314
8 18 3 486 311
8 18 3 536 308
8 18 3 289 305
8 18 3 369 302
8 18 3 94 299
8 18 3 504 296
8 18 3 308 293
8 18 3 505 290
8 18 3 309 287
8 18 3 472 284
8 18 3 465 281
8 18 3 204 278
8 18 3 466 275
8 18 3 13 272
8 18 3 99 269
8 18 3 275 266
8 18 3 181 263
8 18 3 179 260
8 18 3 297 257
8 18 3 52 254
9 18 3 246 251
8 17 3 514 248
8 17 3 68 245
8 17 3 509 242
8 16 3 171 239
8 16 3 260 236
8 16 3 495 233
8 15 3 419 230
8 15 3 165 227
8 15 3 538 224
8 14 3 282 221
8 14 3 142 218
8 14 3 561 215
11 17 3 21 212
8 13 3 537 344
8 13 3 464 347
13 18 3 185 209
8 13 3 399 350
8 13 3 431 353
8 13 3 395 356
8 13 3 458 359
8 13 3 153 362
8 13 3 456 365
8 13 3 146 368
8 13 3 273 371
8 13 3 451 374
13 18 3 360 206
8 13 3 145 377
8 13 3 190 380
8 13 3 471 383
8 13 3 125 386
8 13 3 89 389
8 13 3 437 392
8 13 3 412 395
8 13 3 529 398
8 13 3 77 401
8 13 3 354 404
12 17 3 356 203
8 13 3 363 407
8 11 3 138 212
9 12 3 296 633
10 13 3 478 209
8 11 3 152 472
8 11 3 410 596
8 10 3 53 209
8 10 3 47 206
8 10 3 231 203
16 18 3 535 824
8 10 3 559 200
8 10 3 22 197
9 11 3 463 945
11 12 3 383 7
10 11 3 33 27
10 11 3 199 30
8 9 3 487 101
17 18 3 409 212
15 16 3 501 55
16 17 3 333 77
14 15 3 328 8
8 9 3 280 104
15 16 3 366 58
17 18 3 50 215
8 17 2 553 195
8 17 2 93 193
8 17 2 408 191
8 17 2 104 189
8 16 2 75 187
8 16 2 392 185
8 16 2 381 183
8 16 2 201 181
9 17 2 443 179
8 16 2 272 177
8 16 2 144 175
8 16 2 56 173
8 16 2 481 171
8 15 2 243 169
8 15 2 24 167
8 15 2 404 165
8 15 2 426 163
8 15 2 66 161
8 15 2 216 159
8 15 2 517 157
8 15 2 256 155
8 15 2 136 153
9 15 2 526 151
8 13 2 416 410
8 13 2 406 787
8 13 2 394 785
8 13 2 421 783
8 13 2 560 781
9 14 2 544 911
8 13 2 557 779
12 17 2 379 197
8 13 2 34 902
12 17 2 389 199
8 13 2 127 904
8 13 2 373 149
8 13 2 288 147
8 13 2 494 145
8 13 2 196 143
11 16 2 493 201
8 13 2 278 141
8 13 2 205 139
12 17 2 497 137
8 13 2 222 600
12 17 2 485 135
9 14 2 483 913
8 13 2 263 602
8 13 2 228 604
8 13 2 482 606
8 13 2 255 608
12 17 2 269 133
11 16 2 294 916
8 13 2 175 610
8 13 2 372 612
8 13 2 65 614
12 17 2 433 131
9 14 2 76 129
8 13 2 349 616
8 13 2 97 618
12 17 2 345 127
10 15 2 121 125
11 16 2 140 123
9 14 2 147 121
8 13 2 149 620
11 16 2 155 119
8 13 2 159 622
10 15 2 306 117
8 13 2 446 624
8 13 2 248 696
8 12 2 562 137
8 12 2 565 135
8 12 2 186 133
12 16 2 267 115
8 12 2 317 131
14 18 2 143 830
8 12 2 6 698
15 18 2 184 801
15 18 2 318 218
11 14 2 187 113
8 11 2 314 127
14 17 2 71 129
14 17 2 365 139
15 18 2 37 220
14 17 2 20 141
8 10 2 283 125
8 10 2 462 123
15 17 2 79 125
14 15 2 164 11
16 17 2 19 80
17 18 2 133 222
15 16 2 393 61
15 16 2 183 63
16 17 2 150 82
17 18 2 418 224
8 9 2 158 107
12 13 2 223 0
8 9 2 163 109
8 17 1 370 112
8 17 1 513 111
10 17 1 476 110
9 16 1 271 109
8 14 1 491 915
9 15 1 411 108
8 13 1 338 778
11 16 1 96 107
8 13 1 86 906
8 13 1 105 941
10 15 1 81 106
8 13 1 442 940
8 13 1 78 939
9 14 1 63 105
12 17 1 436 104
8 13 1 542 938
8 13 1 85 937
8 13 1 224 936
10 15 1 45 103
12 17 1 16 102
12 17 1 108 101
12 17 1 154 100
11 16 1 319 99
11 16 1 170 98
9 14 1 274 97
8 12 1 266 632
8 12 1 518 631
8 12 1 74 115
14 17 1 247 105
8 11 1 362 113
14 17 1 191 113
8 11 1 264 114
14 17 1 378 114
15 18 1 330 630
15 17 1 124 103
16 18 1 425 645
15 17 1 434 106
12 14 1 441 2
14 16 1 238 97
14 16 1 444 121
15 17 1 210 143
14 15 1 112 13
17 18 1 244 226
11 12 1 552 10
17 18 1 428 227
15 16 1 95 26
17 18 1 547 228
14 15 1 468 14
8 9 1 90 116
17 18 1 342 229
8 9 1 107 117
16 17 1 292 84
13 18 3 475 -1
8 18 2 519 -1
8 18 2 128 -1
8 18 2 44 -1
8 18 2 116 -1
8 18 2 219 -1
8 18 2 341 -1
8 18 2 480 -1
8 18 2 106 -1
8 18 2 344 -1
8 18 2 245 -1
8 18 2 49 -1
8 18 2 388 -1
8 18 2 413 -1
8 18 2 3 -1
8 18 2 235 -1
8 18 2 60 -1
8 18 2 361 -1
8 18 2 67 -1
8 18 2 110 -1
8 18 2 326 -1
8 18 2 17 -1
8 18 2 162 -1
8 18 2 310 -1
8 18 2 299 -1
8 18 2 177 -1
8 18 2 489 -1
8 18 2 325 -1
8 18 2 203 -1
8 18 2 461 -1
8 18 2 316 -1
8 18 2 320 -1
8 18 2 213 -1
8 18 2 499 -1
8 18 2 27 -1
8 18 2 303 -1
9 18 2 298 -1
13 18 2 382 -1
13 18 2 31 -1
13 18 2 192 -1
13 18 2 492 -1
13 18 2 375 -1
13 18 2 180 -1
13 18 2 449 -1
13 18 2 311 -1
8 18 1 169 -1
8 18 1 315 -1
8 18 1 301 -1
8 18 1 276 -1
8 18 1 261 -1
8 18 1 0 -1
8 18 1 327 -1
8 18 1 5 -1
8 18 1 10 -1
8 18 1 26 -1
8 18 1 51 -1
8 18 1 58 -1
8 18 1 367 -1
8 18 1 540 -1
8 18 1 250 -1
8 18 1 348 -1
8 18 1 340 -1
8 18 1 118 -1
8 18 1 62 -1
8 16 1 323 -1
8 16 1 69 -1
8 16 1 525 -1
8 16 1 211 -1
8 16 1 126 -1
8 15 1 227 -1
8 15 1 293 -1
8 15 1 307 -1
8 15 1 454 -1
12 18 1 61 -1
12 18 1 23 -1
8 14 1 220 -1
8 14 1 148 -1
8 14 1 430 -1
8 14 1 376 -1
8 14 1 477 -1
8 14 1 277 -1
8 14 1 390 -1
13 18 1 432 -1
13 18 1 229 -1
8 13 1 46 -1
13 18 1 43 -1
13 18 1 41 -1
8 13 1 38 -1
8 13 1 25 -1
8 13 1 377 -1
8 13 1 556 -1
13 18 1 15 -1
13 18 1 424 -1
8 13 1 384 -1
8 13 1 520 -1
8 13 1 524 -1
13 18 1 206 -1
8 13 1 290 -1
8 13 1 564 -1
8 13 1 457 -1
13 18 1 450 -1
8 13 1 135 -1
13 18 1 500 -1
8 13 1 329 -1
8 13 1 334 -1
13 18 1 200 -1
8 13 1 259 -1
8 13 1 122 -1
8 13 1 488 -1
13 18 1 212 -1
8 13 1 160 -1
14 18 1 114 -1
14 18 1 87 -1
