Mietbegin Mietende Länge ID position
9 16 9 650 868
10 14 7 194 571
8 11 9 227 494
8 15 8 496 97
8 17 7 684 854
9 15 6 486 213
8 17 7 168 134
8 17 7 583 141
12 18 7 730 804
8 11 8 646 584
11 17 6 464 152
8 16 5 565 109
8 16 5 674 645
8 17 4 76 191
13 16 9 214 247
8 16 7 82 77
9 15 4 32 486
8 15 9 47 118
9 14 8 588 442
9 13 6 345 221
13 18 4 573 604
8 14 6 534 598
10 17 8 125 430
15 18 9 711 440
9 18 4 726 790
8 16 9 606 794
9 15 9 359 963
14 18 7 637 891
8 14 6 166 454
10 15 7 113 170
8 16 6 92 847
8 14 8 97 11
8 16 9 548 66
11 17 4 372 579
8 17 3 505 637
8 12 5 107 520
11 14 5 528 391
14 16 7 539 686
16 18 9 376 338
11 17 7 226 526
12 16 9 98 397
8 12 4 85 732
15 16 9 14 454
8 16 3 485 698
8 15 4 523 709
8 15 5 715 386
10 18 4 538 641
13 18 8 518 411
11 14 9 285 314
10 16 4 442 835
10 16 5 188 425
9 16 5 596 238
10 16 4 478 298
8 13 6 488 861
13 17 9 418 84
8 13 7 196 243
10 16 4 600 705
8 12 5 159 664
10 16 6 448 274
9 13 9 704 689
12 18 7 136 517
8 15 2 0 658
13 18 3 547 311
12 15 9 213 750
10 14 7 585 545
8 16 5 660 618
8 14 4 379 533
12 16 8 302 661
8 12 7 18 899
13 18 2 408 561
11 15 5 613 675
13 15 8 288 221
9 12 7 110 750
13 15 6 108 326
8 12 7 49 288
8 13 8 551 820
9 15 7 347 767
8 16 6 436 912
14 15 4 25 548
10 18 5 220 608
11 16 4 94 632
9 14 4 574 450
11 17 5 24 266
9 11 5 78 738
12 16 5 243 351
8 17 4 604 701
9 10 9 81 414
14 18 5 327 574
14 17 4 629 160
11 13 6 398 477
15 18 3 86 407
8 17 7 141 813
16 18 8 343 678
10 11 9 103 374
14 16 6 476 783
14 17 7 504 478
12 14 8 581 333
15 17 6 729 713
9 13 5 344 894
11 13 7 586 304
11 15 7 244 368
9 15 4 4 721
12 15 6 648 127
14 17 4 29 583
10 14 4 455 460
8 14 4 70 537
14 18 6 527 919
9 11 5 500 632
9 15 5 614 714
10 16 2 63 492
15 18 7 64 746
9 13 6 645 669
11 18 2 412 592
10 14 9 633 39
10 14 5 208 468
10 16 4 657 653
15 18 5 618 861
9 11 6 44 356
9 12 9 688 332
8 9 9 672 542
15 18 4 158 734
9 13 7 119 251
8 10 9 431 832
8 16 3 294 682
9 10 8 273 574
8 14 4 563 281
10 17 7 123 877
14 18 3 494 542
8 11 5 145 403
16 18 9 247 238
8 11 2 690 565
12 14 4 62 496
9 18 1 403 438
8 9 9 652 870
16 17 9 457 249
12 18 2 79 840
16 18 7 61 487
11 18 3 57 49
11 17 3 210 474
8 10 7 11 725
15 18 7 608 464
12 18 2 239 168
14 17 5 178 930
9 13 3 487 506
10 14 5 252 178
9 14 8 237 987
10 13 6 256 955
16 18 9 710 324
11 12 6 137 377
8 10 7 668 477
10 11 9 134 885
14 18 4 6 333
14 16 3 382 348
16 17 8 594 658
13 17 4 471 285
13 16 7 481 202
9 11 5 358 362
15 17 2 84 214
13 16 9 411 952
15 18 7 112 258
11 13 5 324 259
9 15 3 605 907
8 9 8 434 670
8 11 5 499 514
15 17 6 334 720
16 17 7 663 363
15 18 3 93 232
11 16 2 9 765
14 18 2 346 832
14 18 2 631 524
8 16 8 269 935
11 15 5 655 231
12 17 1 630 567
8 9 7 441 332
14 15 8 365 303
11 13 4 319 831
11 18 1 142 775
9 12 4 506 786
8 17 5 541 52
9 14 4 571 93
16 18 4 536 686
8 13 2 60 465
