Mietbegin Mietende Länge ID position
13 18 8 230 296
8 18 5 400 610
8 18 6 462 466
8 18 3 233 439
8 17 4 194 233
8 18 4 543 419
8 13 8 134 498
8 13 10 227 652
8 16 5 125 777
8 18 3 534 304
8 18 6 47 89
8 18 6 186 171
8 13 8 242 296
8 18 5 273 622
8 18 5 588 434
8 18 4 244 789
8 13 4 378 309
13 18 8 489 852
8 18 3 166 442
8 17 4 126 453
8 18 4 38 542
8 18 4 496 318
8 17 3 465 703
8 18 4 303 445
8 18 3 486 193
8 13 8 431 205
8 18 4 130 688
8 13 6 357 547
8 18 4 123 944
13 18 7 350 103
8 18 3 279 539
8 18 2 204 366
8 18 4 269 588
8 18 7 362 323
9 18 4 490 801
9 13 6 201 221
8 18 3 358 861
9 18 5 175 72
8 17 4 17 707
8 13 7 40 645
8 18 4 87 679
8 18 3 256 241
8 18 4 141 566
13 18 9 511 734
8 17 6 103 668
8 16 6 129 140
8 17 5 551 401
8 17 2 37 529
8 16 3 488 749
13 18 4 162 288
8 18 2 556 349
8 13 10 53 150
13 18 6 453 520
8 13 4 347 390
11 17 4 257 472
8 18 2 294 423
8 18 3 596 698
13 18 6 214 211
13 18 5 124 501
8 13 9 285 286
8 18 2 442 827
8 18 2 433 636
13 17 7 211 489
13 18 4 461 198
8 17 4 586 449
8 13 5 602 760
8 13 4 264 784
8 18 3 344 202
13 15 8 14 7
8 18 3 2 412
8 18 4 407 507
10 15 5 366 32
13 18 9 128 866
8 13 6 544 851
8 15 2 85 477
8 18 4 115 125
8 13 3 3 425
8 18 3 436 230
13 18 4 481 264
13 18 3 590 244
8 18 3 421 720
13 18 4 364 310
8 13 3 460 483
8 17 2 79 398
8 18 3 195 926
13 18 5 139 846
8 18 2 41 376
8 18 2 0 307
8 18 2 379 615
8 18 3 44 555
8 13 4 441 488
8 13 2 377 563
13 18 2 536 527
8 17 3 157 674
8 16 3 332 904
8 13 5 569 843
13 18 8 411 985
8 13 3 409 373
8 15 4 532 631
8 13 2 94 408
13 18 3 595 769
8 18 4 583 921
8 14 4 18 337
8 18 3 297 712
8 18 3 252 575
8 17 2 538 406
13 18 4 515 600
8 18 2 57 558
13 18 3 572 814
8 18 3 295 362
8 18 2 210 148
13 18 3 564 563
8 17 4 110 977
8 18 5 97 429
8 18 3 274 358
8 16 2 425 743
8 13 4 90 492
8 17 3 262 829
8 18 2 70 347
8 15 2 341 356
8 13 2 450 600
8 13 3 351 865
8 18 2 430 464
8 18 2 579 183
8 16 2 311 187
8 18 4 82 745
13 18 3 334 685
13 18 2 84 531
8 13 3 145 795
8 18 2 76 386
13 18 2 96 550
13 18 3 101 498
8 11 3 501 473
13 18 4 540 579
8 13 3 324 253
8 13 3 308 683
13 18 5 518 649
13 18 5 102 371
8 18 3 78 888
13 18 3 601 256
8 15 3 466 880
13 18 3 276 594
9 14 4 302 98
13 18 2 93 659
8 18 2 42 726
8 13 4 11 731
8 18 3 541 663
8 18 1 33 692
8 18 2 554 914
8 18 2 58 537
9 13 5 236 515
8 18 2 487 535
13 18 3 20 480
8 18 3 398 972
8 18 2 149 394
8 13 3 337 808
9 17 2 284 351
8 18 1 446 147
8 18 3 565 798
8 18 1 599 378
13 18 4 182 284
