SIMANN META
Anzahl Durchläufe: 70000
Starttemperatur: 25
Verkleinerungsrate: 0,99995

BESTE VERTEILUNG
Anzahl Anmeldungen: 25
   davon abgelehnt: 17
Anzahl Überschneidungen: 0
Energie/-Mieteinnahmen: -6353

Energieberechnung: energy2
Moves: move
Positioning: setRandomPositions2(20)

 Energie, Überschneidungen im Zeitverlauf
16176  93
12708  82
14651  91
12791  85
12651  84
10742  82
9218  78
9621  80
8796  78
8785  78
8902  78
9012  78
8674  73
4127  64
6130  65
7363  64
3465  59
4824  62
4356  57
4166  51
4196  51
4196  51
4091  48
5996  55
10972  65
14618  71
13665  66
12906  65
11704  65
14489  75
14891  76
15197  76
16204  81
16036  78
15982  79
16050  83
11582  74
11527  74
12930  81
17231  90
17233  91
15499  84
11512  81
12471  80
11485  81
11525  81
11401  81
11191  78
11006  78
10510  66
12069  74
5304  61
5304  61
7142  66
85  51
186  52
-1629  40
-1663  40
-2083  38
-959  44
6285  59
9271  68
9174  70
9162  68
9256  69
14698  82
15225  94
14647  94
17521  97
18168  98
18163  98
12985  87
10512  81
10512  80
10459  81
10685  83
9086  75
8547  75
7665  75
9662  82
8197  77
11949  89
9952  82
9853  83
10636  83
10638  83
11284  84
8595  75
7731  70
6992  70
6546  70
8609  78
8648  78
9278  78
9075  74
8191  72
8154  72
9644  79
6506  69
11860  80
15556  93
13709  86
13547  86
13937  84
14740  89
14734  89
14775  89
7612  75
7692  75
9068  76
10138  77
9077  70
17595  84
19374  90
17657  84
16781  84
18299  89
9565  74
8514  73
7943  74
6727  67
6852  68
4811  62
4831  66
4726  65
3349  59
9957  71
9931  71
11383  77
15386  85
13065  76
14409  82
16721  91
14867  84
12873  74
8983  62
8341  62
8260  62
9027  61
8547  61
8547  61
6225  59
5678  55
5748  54
2889  48
2889  48
3413  52
4814  62
6213  68
4814  62
4674  62
4494  62
4267  62
5943  69
6776  69
6704  69
6704  69
10772  80
9038  73
8388  67
12169  74
12194  74
7353  62
6216  56
8089  62
8083  62
9486  68
14285  81
14131  81
14400  82
15013  83
13156  77
15651  88
14951  86
12105  77
13176  84
12992  84
12015  70
13851  75
8507  65
9267  66
11590  73
9754  68
15005  78
14525  79
14523  79
13757  75
14144  86
16010  93
15192  85
11736  74
11736  74
11915  74
10821  65
10821  65
10821  65
12137  70
12137  70
12795  76
14357  86
13968  85
15508  85
15524  85
19524  96
19229  95
21564  101
22284  101
22284  101
22103  98
22233  98
22233  98
22875  106
22875  106
22875  106
22420  105
22420  105
19876  105
14671  94
20083  106
22162  105
13358  89
14038  89
17636  98
13024  83
14346  94
11391  88
11293  89
13334  95
22426  111
20417  104
20581  105
20713  106
22313  113
22313  113
22289  108
18227  97
18364  98
16084  90
12649  82
12685  89
12675  89
16102  97
18432  105
18405  105
19140  105
19319  106
22581  118
24279  118
22511  110
22511  110
24158  117
24242  117
18720  104
17762  104
16321  96
9173  82
9173  82
9173  82
4983  73
4983  73
5062  70
4845  70
5279  75
4026  69
4026  65
5354  74
8803  78
8775  74
8775  74
14945  86
12129  79
12060  79
13034  86
13418  85
13694  89
12336  83
7722  69
6576  68
6580  67
6580  67
6432  66
6482  66
6443  66
6443  66
6515  67
6606  67
6651  67
6372  63
8056  72
7259  69
8970  76
8919  76
8847  76
8847  76
8825  76
11434  82
11465  82
8851  75
11351  82
11351  82
11416  82
12147  83
12138  83
12139  83
12139  83
12139  83
16716  97
16716  97
16635  97
14651  91
12756  84
13517  85
11473  79
13316  85
14653  86
14387  87
15912  95
15928  99
15928  99
16614  99
21375  109
23967  116
25830  123
25830  123
25815  123
25791  123
20125  105
25953  123
23624  114
23624  114
25571  115
24028  107
25260  114
21383  102
21298  97
21298  97
19476  97
17220  88
20361  99
20361  99
21041  101
21054  101
19717  99
15653  90
8080  76
7986  76
6600  70
11653  81
15889  90
15885  90
15887  90
17865  98
19158  106
20551  108
20138  104
17420  97
18214  99
18363  99
16901  93
11899  83
12301  82
14248  88
19641  98
20535  98
21321  97
21752  101
21752  101
21622  101
19531  93
19518  93
19518  93
20384  98
15646  88
15083  86
16998  93
19278  100
19278  100
18743  100
18807  100
16892  93
16795  93
21559  103
17160  90
18904  98
13473  83
17218  95
15793  87
19980  101
21899  108
23009  112
25324  121
25673  128
24213  120
25928  128
23671  121
15732  105
13138  100
13244  100
13261  100
12758  99
12734  94
8958  85
8982  90
8921  90
12439  99
20927  115
20980  114
19931  107
23239  112
16591  94
15675  88
17938  95
19691  102
14464  92
14463  92
14527  92
14217  89
13520  86
19076  100
19017  106
18281  104
18299  104
18277  104
17898  104
17898  104
17902  104
13503  89
17898  99
17821  99
18299  98
18299  98
14699  89
14688  89
14582  89
14578  89
14992  93
12979  85
12991  85
12320  76
11386  75
7610  66
11859  74
11503  74
11548  74
11552  74
14452  87
12237  84
10592  77
10805  81
10286  80
10353  80
10456  80
12231  86
14043  94
14580  95
14580  95
15145  98
15159  98
19599  107
17290  101
12788  84
12918  84
13461  84
13461  84
18110  96
19719  101
19654  100
20640  106
16306  97
16314  98
17120  99
16773  92
21603  101
21603  101
20904  94
22038  101
22527  110
22373  111
21239  104
22735  110
22735  110
22871  110
23716  108
21797  101
21809  101
23728  108
24374  109
22109  102
24368  109
18118  98
15319  98
15389  98
14502  93
13982  93
14442  93
13902  94
14804  99
12200  89
11109  88
15968  98
17582  98
17679  99
