Mietbegin Mietende Länge ID position
8 18 1 0 0
17 18 7 1 1
13 18 7 2 993
8 18 2 3 991
13 18 4 4 987
8 18 1 5 986
8 12 2 6 1
17 18 20 7 8
16 17 4 8 1
13 18 5 9 981
8 18 1 10 980
14 16 9 11 1
8 13 4 12 976
8 18 3 13 973
8 13 8 14 965
13 18 1 15 972
12 17 1 16 10
8 18 2 17 963
8 18 3 18 960
16 17 2 19 5
14 17 2 20 11
11 17 3 21 957
8 10 3 22 3
12 18 1 23 956
8 15 2 24 954
8 13 1 25 953
8 18 1 26 952
8 18 2 27 950
11 12 7 28 993
10 15 5 29 945
16 17 13 30 13
13 18 2 31 965
13 18 4 32 967
10 11 3 33 3
8 13 2 34 981
14 18 4 35 976
17 18 4 36 28
15 18 2 37 948
8 13 1 38 983
8 17 4 39 941
8 13 6 40 935
13 18 1 41 953
8 12 4 42 931
13 18 1 43 971
8 18 2 44 929
10 15 1 45 928
8 13 1 46 984
8 10 3 47 6
16 18 25 48 904
8 18 2 49 32
17 18 3 50 34
8 18 1 51 37
8 18 3 52 38
8 10 3 53 9
8 18 4 54 41
8 9 82 55 45
8 16 2 56 30
13 18 5 57 45
8 18 1 58 903
8 13 10 59 20
8 18 2 60 901
12 18 1 61 900
8 18 1 62 899
9 14 1 63 34
13 18 5 64 50
8 13 2 65 18
8 15 2 66 35
8 18 2 67 897
8 17 3 68 894
8 16 1 69 893
10 15 7 70 904
14 17 2 71 28
8 13 7 72 886
8 11 4 73 14
8 12 1 74 885
8 16 2 75 926
9 14 2 76 924
8 13 3 77 987
8 13 1 78 985
15 17 2 79 26
8 9 4 80 127
10 15 1 81 911
17 18 13 82 55
17 18 6 83 68
8 18 4 84 881
8 13 1 85 880
8 13 1 86 879
14 18 1 87 880
8 11 5 88 874
8 13 3 89 921
8 9 1 90 12
8 18 3 91 871
17 18 14 92 74
8 17 2 93 869
8 18 3 94 866
15 16 1 95 13
11 16 1 96 874
8 13 2 97 864
13 18 4 98 862
8 18 3 99 859
8 13 4 100 855
16 18 6 101 853
11 13 4 102 14
11 17 4 103 875
8 17 2 104 851
8 13 1 105 13
8 18 2 106 849
8 9 1 107 34
12 17 1 108 885
13 18 4 109 845
8 18 2 110 843
8 9 4 111 131
14 15 1 112 13
8 18 3 113 840
14 18 1 114 839
8 18 4 115 835
8 18 2 116 833
8 13 4 117 829
