Mietbegin Mietende Länge ID position
9 18 5 175 867
8 18 4 123 151
8 18 4 202 297
8 13 10 53 742
8 18 3 92 466
8 18 6 47 219
8 18 7 362 229
8 18 4 31 620
8 17 6 103 929
8 16 5 125 669
8 17 4 110 532
8 13 10 227 72
8 18 6 186 485
8 18 4 168 248
8 13 9 285 446
13 18 6 259 437
8 18 5 97 773
13 18 4 174 589
8 18 4 82 193
8 13 4 113 589
8 18 6 462 682
10 15 9 99 500
8 18 3 256 214
13 18 8 411 394
8 17 4 196 197
11 18 5 429 826
8 18 4 87 409
8 18 5 400 45
8 13 8 134 414
8 18 2 487 252
13 18 4 144 541
8 14 4 18 657
8 18 2 379 384
13 18 8 230 593
13 18 8 489 741
8 18 4 269 546
8 13 7 65 435
8 17 2 60 217
8 18 3 358 638
8 18 5 273 833
8 12 4 12 423
8 18 3 44 185
8 13 6 357 697
8 18 4 130 244
8 18 3 220 463
8 17 4 17 276
8 18 4 303 352
8 18 3 195 719
13 18 4 394 653
13 18 7 418 254
8 18 3 74 800
8 18 2 70 380
8 16 4 136 646
13 18 4 365 536
13 18 7 321 808
8 16 4 36 124
8 13 8 242 811
8 18 4 38 262
8 18 2 57 515
9 14 6 15 171
8 18 3 2 846
8 18 2 42 641
13 18 4 386 413
8 12 6 81 612
9 18 3 154 491
8 17 3 262 765
8 18 2 0 311
8 18 2 286 382
8 18 3 316 843
13 18 4 182 236
9 13 6 201 386
13 18 4 112 301
8 18 3 233 291
13 18 3 122 403
8 18 1 140 604
8 13 3 3 403
8 18 2 430 865
13 18 2 71 674
8 13 4 264 475
13 18 3 1 449
8 13 4 370 536
8 13 4 11 142
13 18 4 173 585
13 17 7 211 989
8 13 3 308 304
10 17 4 440 937
13 18 4 203 333
9 17 2 284 406
10 15 5 366 57
8 13 8 147 975
8 18 3 344 678
8 13 3 241 367
8 13 2 94 358
15 17 8 247 943
13 18 4 260 527
8 11 5 131 340
8 16 3 488 715
8 18 3 464 523
8 16 6 129 7
8 13 3 137 361
8 13 3 23 586
8 11 4 468 561
12 18 5 288 341
13 18 3 184 699
8 13 3 313 664
8 15 2 341 625
13 18 3 380 479
8 16 1 155 574
13 18 5 102 605
13 18 4 481 560
8 17 3 465 850
9 14 4 302 374
13 16 4 48 568
13 18 4 291 24
13 18 2 84 161
13 18 2 51 788
13 16 7 171 631
8 18 3 297 50
11 13 4 296 631
8 18 3 252 838
13 18 4 390 725
8 18 2 210 627
11 17 3 373 28
9 14 8 34 892
8 18 3 295 661
13 18 2 325 602
8 15 2 85 240
13 18 3 361 471
8 18 1 33 474
8 15 2 306 364
13 18 2 307 614
8 18 3 398 206
8 18 2 150 643
11 16 7 348 103
8 18 2 204 712
13 18 4 22 426
13 18 3 352 877
13 18 3 476 952
8 13 2 410 350
8 14 4 49 32
8 18 3 436 690
13 18 4 162 854
8 13 7 40 944
8 13 4 441 725
8 13 2 223 268
8 18 2 442 581
8 13 3 460 326
11 16 2 52 797
13 18 3 387 88
13 18 6 30 72
8 15 2 372 370
13 18 3 334 163
13 18 3 266 749
8 18 2 416 455
13 18 2 335 418
9 15 2 75 521
8 18 3 421 188
8 13 2 63 372
8 13 3 402 780
8 18 3 78 62
8 18 2 433 795
8 18 2 478 433
9 16 4 369 133
8 18 3 345 121
8 18 3 486 100
13 16 3 108 305
8 18 4 115 736
13 18 3 148 610
13 17 3 270 770
8 13 3 324 675
13 18 2 158 435
8 16 2 161 710
12 17 2 197 323
8 18 1 72 287
8 13 3 351 69
9 13 5 236 565
8 13 4 378 319
14 16 9 457 980
8 11 3 406 853
8 13 8 431 957
13 18 2 346 519
8 18 2 58 755
8 18 1 428 584
13 18 4 64 178
8 13 4 90 761
13 18 2 25 166
8 13 1 19 578
8 18 2 207 313
8 15 7 254 904
8 14 3 24 511
13 18 2 93 629
8 18 2 485 695
8 13 1 222 357
13 18 3 338 779
13 18 2 426 140
13 18 4 212 129
8 18 2 41 496
13 17 2 165 359
13 18 3 392 872
13 18 2 292 361
8 18 1 268 288
8 15 3 331 968
13 18 2 181 676
8 12 2 412 429
8 13 3 337 294
8 13 1 68 462
8 16 2 217 494
13 18 3 20 959
8 15 1 5 482
13 18 4 333 564
8 13 2 56 783
8 18 4 407 329
8 13 4 164 822
8 16 3 332 110
13 18 2 384 155
8 16 2 425 183
8 13 2 450 395
8 16 2 311 92
8 13 2 238 317
